rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
67,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380900,0.629897,0.321452,0.374197,0.406251,0.172702
68,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380875,0.635768,0.325297,0.370032,0.398324,0.174954
69,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.380869,0.634156,0.326860,0.368331,0.400617,0.174381
70,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380832,0.630130,0.324639,0.372078,0.406905,0.170407
71,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.380814,0.634358,0.325812,0.367427,0.401860,0.174614
72,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380812,0.635132,0.324773,0.370749,0.398594,0.174810
73,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.380808,0.632726,0.323758,0.368744,0.405546,0.173268
74,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.380756,0.634245,0.323206,0.372469,0.400437,0.173422
75,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380745,0.633307,0.325533,0.369659,0.400551,0.174678
76,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380745,0.635504,0.322448,0.367967,0.402486,0.175321
77,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.380726,0.632731,0.322371,0.373856,0.402147,0.172523
78,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.380655,0.634380,0.325201,0.369154,0.401881,0.172661
79,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380652,0.631509,0.321404,0.373178,0.403185,0.173983
80,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.380637,0.636653,0.324538,0.371764,0.399063,0.171164
81,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.380603,0.634729,0.325479,0.371573,0.399021,0.172215
82,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380505,0.632845,0.322780,0.369120,0.403367,0.174413
83,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380493,0.634578,0.324266,0.369600,0.400244,0.173775
84,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.380463,0.635682,0.323541,0.366686,0.401084,0.175323
85,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380421,0.632922,0.324724,0.369300,0.399695,0.175466
86,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.380372,0.632267,0.326708,0.368076,0.400758,0.174050
87,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380350,0.632028,0.323594,0.370333,0.401725,0.174069
88,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.380336,0.631957,0.323081,0.368107,0.404022,0.174513
89,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380223,0.632805,0.322868,0.370696,0.400113,0.174631
90,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.380198,0.635058,0.327515,0.366606,0.396053,0.175759
91,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.380120,0.634912,0.326709,0.365249,0.398887,0.174841
92,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.380072,0.629090,0.322188,0.371316,0.403680,0.174085
93,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.379837,0.636249,0.324931,0.367215,0.395897,0.174894
94,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.379827,0.634908,0.324070,0.368198,0.396761,0.175197
95,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.379808,0.636932,0.325859,0.366218,0.395161,0.174868
96,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.379763,0.636134,0.325404,0.365543,0.395983,0.175750
97,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.379749,0.636769,0.324047,0.368708,0.395728,0.173492
98,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.379723,0.634591,0.325537,0.368048,0.395813,0.174627
99,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.379722,0.632532,0.324033,0.370151,0.399121,0.172773
100,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.379720,0.632501,0.326054,0.367607,0.399042,0.173399
