rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
69,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.382803,0.636057,0.332735,0.370903,0.401645,0.172678
70,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",0.382783,0.635851,0.333730,0.370128,0.400739,0.173468
71,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 1.0}",0.382767,0.637970,0.332947,0.369844,0.401114,0.171960
72,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382766,0.635622,0.333972,0.369495,0.402175,0.172568
73,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 100, ""subsample"": 1.0}",0.382753,0.638270,0.331589,0.371075,0.400390,0.172443
74,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",0.382715,0.635391,0.334586,0.369785,0.400380,0.173432
75,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.382709,0.637920,0.331541,0.369718,0.401655,0.172714
76,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.382704,0.637522,0.334691,0.368115,0.399779,0.173416
77,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.382701,0.634740,0.333002,0.372023,0.401301,0.172440
78,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.382673,0.644529,0.336279,0.365528,0.390869,0.176160
79,extra_trees,"{""max_depth"": null, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.382673,0.644529,0.336279,0.365528,0.390869,0.176160
80,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382644,0.635532,0.334613,0.375071,0.398180,0.169822
81,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.382633,0.639793,0.328242,0.374872,0.399826,0.170433
82,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 50, ""subsample"": 0.8}",0.382623,0.635990,0.333891,0.370381,0.401232,0.171620
83,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.382618,0.635748,0.332131,0.371065,0.402537,0.171611
84,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382618,0.632973,0.332949,0.371748,0.403144,0.172277
85,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 50, ""subsample"": 1.0}",0.382612,0.638403,0.334425,0.367654,0.399432,0.173145
86,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",0.382598,0.635538,0.334005,0.370965,0.398875,0.173606
87,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.382589,0.635237,0.334572,0.374457,0.398342,0.170335
88,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",0.382588,0.637553,0.334877,0.366215,0.400353,0.173944
89,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382585,0.636191,0.334012,0.370077,0.399265,0.173381
90,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 50, ""subsample"": 0.8}",0.382583,0.636569,0.336462,0.369269,0.397936,0.172680
91,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.382573,0.636938,0.334691,0.368566,0.399218,0.173452
92,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 200, ""subsample"": 1.0}",0.382573,0.637610,0.331212,0.371267,0.400403,0.172371
93,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.382539,0.636847,0.330990,0.372887,0.400451,0.171520
94,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 1.0}",0.382513,0.634950,0.332029,0.370587,0.402102,0.172900
95,mlp,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 32, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}",0.382487,0.647590,0.336278,0.360011,0.393076,0.175480
96,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.382473,0.636294,0.332730,0.369791,0.399710,0.173841
97,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.382456,0.634405,0.333334,0.369896,0.402727,0.171921
98,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",0.382451,0.637821,0.331015,0.371805,0.400655,0.170958
99,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.382447,0.635875,0.334568,0.368422,0.399777,0.173596
100,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 50, ""subsample"": 1.0}",0.382446,0.639313,0.333018,0.367321,0.399488,0.173089
